p[I[-]];[Hg[2+]]/0.1;[Pb[2+]]/0.1
NAN;1;1
13,6444914507587;0,974951252437499;0,999950002499875
13,638840089006;0,949905009499171;0,999900009999
13,6330382967261;0,9248612708095;0,999850022496626
13,6270778296139;0,899820035992924;0,999800039992002
13,6209497464857;0,874781304673955;0,999750062484379
13,6146443284546;0,849745076477181;0,999700089973008
13,6081509860378;0,824711351027266;0,99965012245714
13,6014581519668;0,799680127948947;0,999600159936026
13,5945531569743;0,774651406867038;0,999550202408916
13,5874220852098;0,749625187406427;0,999500249875062
13,5800496051345;0,724601469192077;0,999450302333716
13,5724187707335;0,699580251849025;0,99940035978413
13,5645107865614;0,674561535002385;0,999350422225553
13,5563047284291;0,649545318277345;0,99930048965724
13,5477772092835;0,624531601299168;0,999250562078441
13,5389019768492;0,59952038369319;0,999200639488409
13,5296494255901;0,574511665084826;0,999150721886397
13,5199860001222;0,549505445099562;0,999100809271656
13,5098734597498;0,52450172336296;0,999050901643439
13,4992679634284;0,499500499500658;0,999000999000999
13,4881189198282;0,474501773138367;0,998951101343589
13,4763675262005;0,449505543901875;0,998901208670462
13,4639448891768;0,424511811417042;0,998851320980872
13,450769575196;0,399520575309806;0,998801438274071
13,4367443693178;0,374531835206175;0,998751560549313
13,4217519140926;0,349545590732238;0,998701687805852
13,4056487294118;0,324561841514153;0,998651820042942
13,3882568338285;0,299580587178155;0,998601957259836
13,3693517114715;0,274601827350556;0,998552099455789
13,3486445275214;0,249625561657738;0,998502246630055
13,3257549414113;0,224651789726161;0,998452398781888
13,3001678398991;0,199680511182359;0,998402555910543
13,2711610266628;0,174711725652941;0,998352718015275
13,2376767926412;0,14974543276459;0,998302885095338
13,1980753309522;0,124781632144065;0,998253057149988
13,149609486324;0,0998203234182023;0,998203234178479
13,0871292804368;0,0748615062139146;0,998153416180067
12,9990728138676;0,0499051801582421;0,998103603154007
12,8485469795376;0,0249513448781975;0,998053795099556
9,33299014477549;2,32263138137209E-9;0,998003992015968
3,58934467473473;7,56291726567286E-21;0,974292477699532
3,58370474696328;7,36901590564964E-21;0,949313143687273
3,57791516390929;7,1751391484317E-21;0,9243369791303
3,57196775701519;6,98128735131799E-21;0,899364030057635
3,5658536706301;6,78746090723066E-21;0,874394347087457
3,55956328277559;6,59366024936886E-21;0,849427986026627
3,55308611415796;6,39988585663658E-21;0,82446500856993
3,54641072327157;6,20613825998733E-21;0,799505483117429
3,53952458496309;6,01241804987995E-21;0,774549485734955
3,53241394922736;5,81872588508189E-21;0,749597101288198
3,52506367624577;5,62506250311768E-21;0,724648424788721
3,51745704270671;5,43142873273824E-21;0,699703563000325
3,5095755131969;5,23782550888966E-21;0,674762636367396
3,50139846882726;5,04425389079561E-21;0,64982578134438
3,49290288312802;4,85071508394837E-21;0,624893153228761
3,48406293243123;4,65721046704699E-21;0,599964929631385
3,47484952419524;4,46374162525321E-21;0,575041314760643
3,46522972164093;4,2703103915926E-21;0,550122544755969
3,45516603611833;4,07691889896659E-21;0,525208894388297
3,44461554899848;3,88356964614353E-21;0,500300685561346
3,43352881137452;3,6902655823925E-21;0,475398298214574
3,42184845060084;3,49701021731457E-21;0,45050218447218
3,40950738480133;3,30380776523389E-21;0,425612887244285
3,39642650531919;3,11066333776394E-21;0,400731065034267
3,38251162513433;2,91758320474362E-21;0,375857525553839
3,367649395951;2,72457515416454E-21;0,350993272090672
3,3517017463077;2,53164899867816E-21;0,326139568759151
3,3344981492445;2,33881730473148E-21;0,301298034431247
3,31582462007572;2,14609646973325E-21;0,276470781502408
3,29540763724926;1,95350836170563E-21;0,251660627119607
3,27288990053317;1,76108290380939E-21;0,226871426132689
3,2477924162513;1,56886231999203E-21;0,202108618039799
3,2194525348284;1,376908464195E-21;0,17738017117217
3,18691712203679;1,18531626557217E-21;0,152698314773793
3,14874569172393;9,94240347686263E-22;0,128082968218205
3,10261538169764;8,03953191134114E-22;0,103569233806079
3,04443411336394;6,14990244567214E-22;0,0792260906859364
2,96601943503183;4,28586877904689E-22;0,0552126853322275
2,8475986453817;2,48426139621023E-22;0,0320034862995638
2,62965666811204;9,10569996759131E-23;0,0117304139011017
2,26604172991408;1,7064102840871E-23;0,00219828228347977
1,9962766035113;4,92666698070973E-24;0,000634677652924068
1,82404096856537;2,22885562158898E-24;0,000287132225530072
1,70008322460186;1,25940800437152E-24;0,000162243179703036
1,60353907715275;8,0738031086551E-25;0,000104010732351836
1,52453206466298;5,6113082830575E-25;0,0000722876538006079
1,45768462540718;4,12448046349995E-25;0,000053133601080709
1,39975797002289;3,15875498306495E-25;0,0000406926469084187
1,34865346371644;2,49635834634698E-25;0,0000321593252054691
1,30293447559338;2,02240882262183E-25;0,0000260536725908281
1,26157470553663;1,67166562137704E-25;0,000021535224873198
1,22381560414324;1,40485405150996E-25;0,0000180980260205199
1,18908072733669;1,1971855180156E-25;0,0000154227370687711
1,1569217821148;1,03238946520326E-25;0,0000132997526572081
1,12698326895911;8,99428278549307E-26;0,0000115868807662127
1,09897852834227;7,90600449057872E-26;0,0000101849067406719
1,07267304628912;7,00399927696173E-26;9,02289892860498E-6
1,04787253065543;6,24805812829249E-26;8,04905808272545E-6
1,0244142108878;5,60826364645628E-26;7,22484312832421E-6
1,00216036931914;5,06198365661077E-26;6,5210981763068E-6
0,980993450742431;4,59184163428991E-26;5,91543792681985E-6
0,960812309705722;4,18431739074794E-26;5,39044500277282E-6
0,941529292049856;3,82876387895814E-26;4,93240335060669E-6
0,923067937625718;3,5167044845732E-26;4,53039297568866E-6
0,905361152016628;3,24132294857428E-26;4,17563283539349E-6
0,888349736876117;2,99708785464279E-26;3,86099708512851E-6
0,871981197656254;2,77947258838687E-26;3,58065431593275E-6
0,856208768189172;2,58474400304949E-26;3,32979530317002E-6
0,840990606449281;2,40980118108418E-26;3,10442529120127E-6
0,826289126671405;2,25205116598429E-26;2,90120390496926E-6
0,812070440991411;2,10931228458315E-26;2,71732060499506E-6
0,798303889741695;1,97973827475972E-26;2,55039694492895E-6
0,784961644029638;1,86175825451253E-26;2,39840923673676E-6
0,772018367649082;1,75402886211539E-26;2,25962689527696E-6
0,759450928003183;1,65539582674158E-26;2,13256293167452E-6
0,747238147752776;1,56486290414842E-26;2,01593393473041E-6
0,73536059049389;1,48156660732141E-26;1,90862751768533E-6
0,723800375018386;1,40475552874058E-26;1,8096756801385E-6
0,712541013702092;1,33377332491534E-26;1,71823288788245E-6
0,701567271354644;1,26804464021873E-26;1,63355793928866E-6
0,690865041498969;1,20706340373955E-26;1,55499888873266E-6
0,680421237559902;1,15038305271627E-26;1,48198045193711E-6
0,670223696856658;1,0976083284286E-26;1,41399343703279E-6
0,660261095632765;1,04838836200314E-26;1,35058583735084E-6
0,650522873634935;1,0024108234473E-26;1,29135529391832E-6
0,640999166981449;9,59396951077776E-27;1,2359426921217E-6
0,63168074825022;9,19097313134904E-27;1,1840267016084E-6
0,622558972874431;8,81288180863571E-27;1,13531910390995E-6
0,613625731065273;8,45768414280499E-27;1,08956078053307E-6
0,604873404591722;8,12356779444057E-27;1,04651825693369E-6
0,596294827840178;7,80889630224233E-27;1,00598071605819E-6
0,587883252655326;7,51218899051908E-27;9,6775740992703E-7
0,579632316529824;7,23210350462036E-27;9,31675409762552E-7
0,571536013767486;6,967420588708E-27;8,97577644986059E-7
0,563588669292278;6,71703078275534E-27;8,65321189459355E-7
0,555784914817207;6,47992276712703E-27;8,34775759975752E-7
0,548119667122411;6,2551731255884E-27;8,0582239748022E-7
0,540588108222343;6,0419373328372E-27;7,78352306038553E-7
0,533185667228261;5,83944180197054E-27;7,52265828352669E-7
0,525908003735052;5,64697685177616E-27;7,27471539772215E-7
0,518750992581198;5,46389047423401E-27;7,03885445393234E-7
0,511710709847904;5,28958279983346E-27;6,81430267052917E-7
0,504783419978402;5,12350117281945E-27;6,6003480889839E-7
0,497965563911601;4,96513576074029E-27;6,39633391786923E-7
0,491253748135688;4,81401563305846E-27;6,2016534811313E-7
0,484644734577417;4,66970525241227E-27;6,01574569795917E-7
0,47813543125167;4,53180132963581E-27;5,83809103126569E-7
0,47172288360371;4,39993000006673E-27;5,66820785006713E-7
0,465404266483438;4,27374428416919E-27;5,50564915813205E-7
0,459176876697095;4,15292180021871E-27;5,34999964734839E-7
0,453038126087254;4,03716270085355E-27;5,20087303948682E-7
0,446985535096767;3,92618780879712E-27;5,05790968454594E-7
0,44101672677662;3,8197369300787E-27;4,92077438775959E-7
0,43512942120144;3,71756732569726E-27;4,78915444071854E-7
0,429321430259835;3,61945232494438E-27;4,66275783498427E-7
0,423590652789767;3,52518006557592E-27;4,54131163911576E-7
0,417935070031899;3,4345523477419E-27;4,4245605222451E-7
0,412352741376294;3,34738359008439E-27;4,31226540927117E-7
0,406841800380047;3,26349987772501E-27;4,20420225442984E-7
0,401400451035391;3,18273809301246E-27;4,10016092147996E-7
0,396026964269622;3,10494512090843E-27;3,99994416004206E-7
0,390719674659755;3,02997712177619E-27;3,90336666876863E-7
0,385476977346317;2,95769886511559E-27;3,81025423702845E-7
0,380297325131942;2,88798311847593E-27;3,72044295767396E-7
0,375179225751667;2,82071008638511E-27;3,63377850424192E-7
0,370121239302866;2,7557668946705E-27;3,55011546663005E-7
0,365121975823746;2,69304711602231E-27;3,46931673990423E-7
0,360180093010318;2,63245033307346E-27;3,39125296143633E-7
0,355294294061937;2,5738817356372E-27;3,31580199204577E-7
0,350463325648016;2,51725174909837E-27;3,24284843727473E-7
0,345685975986304;2,46247569121633E-27;3,17228320526468E-7
0,340961073026559;2,40947345489665E-27;3,10400309808712E-7
0,336287482732334;2,35816921470475E-27;3,03791043365994E-7
0,331664107454643;2,30849115511313E-27;2,97391269566205E-7
0,327089884391694;2,26037121866184E-27;2,91192220910117E-7
0,322563784129256;2,21374487238188E-27;2,85185583940893E-7
0,318084809256663;2,16855089098333E-27;2,79363471313302E-7
0,313651993053799;2,12473115544695E-27;2,73718395847297E-7
0,30926439824473;2,08223046578111E-27;2,6824324640643E-7
0,304921115813973;2,0409963668167E-27;2,62931265455893E-7
0,300621263881662;2,0009789860127E-27;2,57776028167824E-7
0,296363986634124;1,96213088233516E-27;2,52771422953152E-7
0,292148453306627;1,92440690535391E-27;2,47911633309735E-7
0,287973857215265;1,88776406377501E-27;2,43191120886056E-7
0,28383941483518;1,85216140269352E-27;2,38604609668325E-7
0,279744364922459;1,8175598889118E-27;2,34147071206605E-7
0,275687967677264;1,78392230372324E-27;2,29813710802684E-7
0,271669503945886;1,751213142611E-27;2,25599954588775E-7
0,267688274459576;1,7193985213569E-27;2,21501437431986E-7
0,263743599108127;1,68844608809621E-27;2,17513991604797E-7
0,259834816246331;1,65832494089215E-27;2,13633636166585E-7
0,255961282031543;1,62900555043734E-27;2,09856567005653E-7
0,252122369790671;1,60045968752129E-27;2,06179147495223E-7
0,248317469415075;1,57266035493064E-27;2,02597899720496E-7
0,244545986781872;1,54558172347551E-27;1,99109496237243E-7
0,240807343200303;1,51919907185854E-27;1,95710752325439E-7
0,237100974881862;1,49348873012501E-27;1,92398618704229E-7
0,233426332432967;1,46842802645248E-27;1,89170174677104E-7
0,229782880369046;1,44399523705638E-27;1,8602262167849E-7
0,226170096648948;1,42016953900466E-27;1,829532771951E-7
